datetime_utc,value,parameter,unit,sensor_id,location_id,coordinates,summary,period_label
2019-06-18 22:30:00+00:00,0.975,so2,unknown,20190,6981,,"{'min': 0.97, 'q02': 0.9702, 'q25': 0.9724999999999999, 'median': 0.975, 'q75': 0.9775, 'q98': 0.9798, 'max': 0.98, 'avg': 0.975, 'sd': 0.007071067811865481}",1 hour
2019-06-18 22:30:00+00:00,76.9,pm10,unknown,20211,6981,,"{'min': 74.88, 'q02': 74.96039999999999, 'q25': 75.88499999999999, 'median': 76.89, 'q75': 77.89500000000001, 'q98': 78.81960000000001, 'max': 78.9, 'avg': 76.89, 'sd': 2.842569260369928}",1 hour
2019-06-18 22:30:00+00:00,30.3,no2,unknown,20226,6981,,"{'min': 25.18, 'q02': 25.3854, 'q25': 27.747500000000002, 'median': 30.315, 'q75': 32.8825, 'q98': 35.244600000000005, 'max': 35.45, 'avg': 30.315, 'sd': 7.261986642785845}",1 hour
2019-06-18 22:30:00+00:00,5.03,o3,unknown,20214,6981,,"{'min': 3.79, 'q02': 3.8394, 'q25': 4.4075, 'median': 5.025, 'q75': 5.6425, 'q98': 6.2105999999999995, 'max': 6.26, 'avg': 5.025, 'sd': 1.7465537495307715}",1 hour
2019-06-18 22:30:00+00:00,38.3,pm25,unknown,20203,6981,,"{'min': 36.69, 'q02': 36.7538, 'q25': 37.4875, 'median': 38.285, 'q75': 39.0825, 'q98': 39.8162, 'max': 39.88, 'avg': 38.285, 'sd': 2.255670631985095}",1 hour
2019-06-18 23:30:00+00:00,41.0,pm25,unknown,20203,6981,,"{'min': 36.69, 'q02': 36.69, 'q25': 36.69, 'median': 36.69, 'q75': 43.22, 'q98': 49.227599999999995, 'max': 49.75, 'avg': 41.04333333333333, 'sd': 7.540194515616514}",1 hour
2019-06-18 23:30:00+00:00,1.05,so2,unknown,20190,6981,,"{'min': 0.99, 'q02': 0.9924, 'q25': 1.02, 'median': 1.05, 'q75': 1.0750000000000002, 'q98': 1.098, 'max': 1.1, 'avg': 1.0466666666666666, 'sd': 0.05507570547286097}",1 hour
2019-06-18 23:30:00+00:00,83.1,pm10,unknown,20211,6981,,"{'min': 78.9, 'q02': 78.9, 'q25': 78.9, 'median': 78.9, 'q75': 85.2, 'q98': 90.996, 'max': 91.5, 'avg': 83.10000000000001, 'sd': 7.2746133917892815}",1 hour
2019-06-18 23:30:00+00:00,22.5,no2,unknown,20226,6981,,"{'min': 19.11, 'q02': 19.2424, 'q25': 20.765, 'median': 22.42, 'q75': 24.195, 'q98': 25.828, 'max': 25.97, 'avg': 22.5, 'sd': 3.4306996371002807}",1 hour
2019-06-18 23:30:00+00:00,21.8,o3,unknown,20214,6981,,"{'min': 17.65, 'q02': 17.828799999999998, 'q25': 19.884999999999998, 'median': 22.12, 'q75': 23.91, 'q98': 25.5568, 'max': 25.7, 'avg': 21.823333333333334, 'sd': 4.033191457559798}",1 hour
