scenario,model,RMSE,MAE,R2
pm25_all,xgb,1.07441426967482,0.2766321371078491,0.9890276967483319
pm25_all,stack,0.6525061871248249,0.11946415987741504,0.9959530901060287
pm25_no_pm10,xgb,2.631181722529829,1.8196821870803837,0.9341954453919117
pm25_no_pm10,stack,2.715686272325734,1.8337736911597309,0.9299007356114152
pm10_all,xgb,1.7137069832463259,0.45024837360382064,0.9890997167515964
pm10_all,stack,0.7058353036618834,0.15589040802706375,0.9981508531427867
pm10_no_pm25,xgb,4.154266635711866,2.8899583007812497,0.9359449483323173
pm10_no_pm25,stack,4.266474832733608,2.907161911518583,0.9324379176248601
